srl_key,Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
775,Ice Cream & Desserts,Smith & Jones White Pasta Sauce Mix,40,0,3,40,46,FALSE,46
776,Biscuits,Britannia Treat Croissant Vanilla Creme Roll,20,10,2,18,47,FALSE,47
777,Biscuits,Britannia Treat Croissant Vanilla Creme Roll,20,0,6,20,47,FALSE,47
778,Biscuits,Bauli Moonfils Veg - Strawberry,15,0,5,15,45,FALSE,47
779,Cooking Essentials,Maggi Magic Cubes Extra Chicken,40,2,6,39,48,FALSE,48
780,Munchies,Maggi Magic Cubes Extra Chicken,40,2,6,39,48,FALSE,48
781,Munchies,Everest Kesari Milk Masala,205,0,2,205,50,FALSE,50
782,Munchies,Catch Black Pepper Sprinkler,100,0,1,100,50,FALSE,50
783,Munchies,Suhana Biryani Masala,66,0,6,66,50,FALSE,50
784,Munchies,Sugarfree Gold Low Calorie Sweetner ,270,7,6,251,50,FALSE,50
785,Munchies,Suhana Spice Mix - Chicken Biryani,66,0,6,66,50,FALSE,50
786,Munchies,Everest Amchur Powder,42,2,0,41,50,TRUE,50
787,Munchies,Everest Cumin Powder (Jeera),30,3,0,29,50,TRUE,50
788,Munchies,Everest Sambhar Masala,34,2,0,33,50,TRUE,50
789,Munchies,Everest Chole Masala,33,3,1,32,50,FALSE,50
790,Munchies,Everest Sabji Masala,30,3,6,29,50,FALSE,50
791,Munchies,Everest Rajma Masala,33,3,5,32,50,FALSE,50
792,Munchies,Everest Pani Puri Masala,31,3,6,30,50,FALSE,50
793,Munchies,Popular Essentials Black Cardamom/Elaichi ,100,10,6,90,50,FALSE,50
794,Munchies,Everest Chaat Masala,35,2,1,34,50,FALSE,50
795,Munchies,Popular Essentials Green Cardamom (Elaichi),200,1,6,198,50,FALSE,50
796,Munchies,Everest Kitchen King Masala,37,2,6,36,50,FALSE,50
797,Munchies,Everest Shahi Paneer Masala,42,4,5,40,50,FALSE,50
798,Munchies,Everest Powder - Egg Curry Masala,40,2,6,39,50,FALSE,50
799,Munchies,Popular Essentials Pe Shah Jeera ,60,15,6,51,50,FALSE,50
800,Munchies,On1y Pepper Grinder,159,9,1,144,50,FALSE,50
801,Munchies,Everest Tea Masala,55,9,2,50,50,FALSE,50
802,Munchies,Popular Essentials Cloves (Lavang),75,17,6,62,50,FALSE,50
803,Munchies,Suhana Paneer Tikka Masala Mix,40,5,6,38,50,FALSE,50
804,Munchies,Everest Tandoori Chicken Masala,39,2,5,38,50,FALSE,50
805,Munchies,Weikfield Cocoa Powder,70,7,6,65,50,FALSE,50
806,Munchies,Popular Essentials Coriander Seeds,15,0,5,15,50,FALSE,50
807,Munchies,Weikfield Baking Powder,22,0,6,22,50,FALSE,50
808,Munchies,Popular Essentials Sunflower Seeds,25,0,6,25,50,FALSE,50
809,Munchies,Everest Chicken Masala,39,2,1,38,50,FALSE,50
810,Munchies,Everest Shahi Biryani Masala,70,14,6,60,50,FALSE,50
811,Munchies,Popular Essentials Ajwain Whole,25,0,4,25,50,FALSE,50
812,Munchies,Everest Pav Bhaji Masala,37,10,4,33,50,FALSE,50
813,Munchies,Everest Hingraj Powder,90,10,2,81,50,FALSE,50
814,Munchies,Everest Garam Masala,42,2,2,41,50,FALSE,50
815,Cooking Essentials,Everest Kesari Milk Masala,205,0,2,205,50,FALSE,50
816,Cooking Essentials,Everest Tea Masala,55,9,2,50,50,FALSE,50
817,Cooking Essentials,Popular Essentials Cloves (Lavang),75,17,6,62,50,FALSE,50
818,Cooking Essentials,Suhana Paneer Tikka Masala Mix,40,5,6,38,50,FALSE,50
819,Cooking Essentials,Everest Powder - Egg Curry Masala,40,2,6,39,50,FALSE,50
820,Cooking Essentials,Popular Essentials Pe Shah Jeera ,60,15,6,51,50,FALSE,50
821,Cooking Essentials,Everest Tandoori Chicken Masala,39,2,5,38,50,FALSE,50
822,Cooking Essentials,Weikfield Cocoa Powder,70,7,6,65,50,FALSE,50
823,Cooking Essentials,Popular Essentials Coriander Seeds,15,0,5,15,50,FALSE,50
824,Cooking Essentials,Weikfield Baking Powder,22,0,6,22,50,FALSE,50
825,Cooking Essentials,Everest Amchur Powder,42,2,0,41,50,TRUE,50
826,Cooking Essentials,Everest Cumin Powder (Jeera),30,3,0,29,50,TRUE,50
827,Cooking Essentials,Everest Sambhar Masala,34,2,0,33,50,TRUE,50
828,Cooking Essentials,Catch Black Pepper Sprinkler,100,0,1,100,50,FALSE,50
829,Cooking Essentials,Suhana Biryani Masala,66,0,6,66,50,FALSE,50
830,Cooking Essentials,Sugarfree Gold Low Calorie Sweetner ,270,7,6,251,50,FALSE,50
831,Cooking Essentials,Suhana Spice Mix - Chicken Biryani,66,0,6,66,50,FALSE,50
832,Cooking Essentials,Everest Chole Masala,33,3,1,32,50,FALSE,50
833,Cooking Essentials,Everest Rajma Masala,33,3,5,32,50,FALSE,50
834,Cooking Essentials,Everest Pani Puri Masala,31,3,6,30,50,FALSE,50
835,Cooking Essentials,Popular Essentials Black Cardamom/Elaichi ,100,10,6,90,50,FALSE,50
836,Cooking Essentials,On1y Pepper Grinder,159,9,1,144,50,FALSE,50
837,Cooking Essentials,Everest Kitchen King Masala,37,2,6,36,50,FALSE,50
838,Cooking Essentials,Everest Chaat Masala,35,2,1,34,50,FALSE,50
839,Cooking Essentials,Everest Sabji Masala,30,3,6,29,50,FALSE,50
840,Cooking Essentials,Everest Shahi Paneer Masala,42,4,5,40,50,FALSE,50
841,Cooking Essentials,Everest Chicken Masala,39,2,1,38,50,FALSE,50
842,Cooking Essentials,Everest Shahi Biryani Masala,70,14,6,60,50,FALSE,50
843,Cooking Essentials,Popular Essentials Ajwain Whole,25,0,4,25,50,FALSE,50
844,Cooking Essentials,Everest Garam Masala,42,2,2,41,50,FALSE,50
845,Cooking Essentials,Everest Pav Bhaji Masala,37,10,4,33,50,FALSE,50
846,Cooking Essentials,Everest Hingraj Powder,90,10,2,81,50,FALSE,50
847,Cooking Essentials,Popular Essentials Green Cardamom (Elaichi),200,1,6,198,50,FALSE,50
848,Cooking Essentials,Popular Essentials Sunflower Seeds,25,0,6,25,50,FALSE,50
849,Fruits & Vegetables,Curry Leaves,13,15,3,11,50,FALSE,50
850,Ice Cream & Desserts,Yoga Bar Breakfast Protein Bar - Blueberry Pie,50,12,1,44,50,FALSE,50
851,Ice Cream & Desserts,Switz Samosa Dough Sheets,90,4,6,86,50,FALSE,50
852,Packaged Food,Pantai Red Curry Paste,60,0,4,60,50,FALSE,50
853,Packaged Food,Pantai Green Curry Paste,60,6,6,56,50,FALSE,50
854,Packaged Food,Yoga Bar Breakfast Protein Bar - Blueberry Pie,50,12,1,44,50,FALSE,50
855,Packaged Food,Switz Samosa Dough Sheets,90,4,6,86,50,FALSE,50
856,Chocolates & Candies,Pantai Green Curry Paste,60,6,6,56,50,FALSE,50
857,Chocolates & Candies,Pantai Red Curry Paste,60,0,4,60,50,FALSE,50
858,Chocolates & Candies,Yoga Bar Breakfast Protein Bar - Blueberry Pie,50,12,1,44,50,FALSE,50
859,Chocolates & Candies,Switz Samosa Dough Sheets,90,4,6,86,50,FALSE,50
860,Ice Cream & Desserts,Pantai Red Curry Paste,60,0,4,60,50,FALSE,50
861,Ice Cream & Desserts,Pantai Green Curry Paste,60,6,6,56,50,FALSE,50
862,Personal Care,Veet Hair Removal Cream Dry Skin,135,5,5,128,50,FALSE,50
863,Personal Care,Veet Sensitive Skin Hair Removal Cream,135,5,6,128,50,FALSE,50
864,Personal Care,Set Wet Style Vertical Hold Hair Gel,50,10,4,45,50,FALSE,50
865,Personal Care,Vaseline Skin Protecting Jelly,79,13,6,68,50,FALSE,50
866,Personal Care,Dettol Original Germ Protection Alcohol Based Hand Sanitizer,25,0,6,25,50,FALSE,50
867,Personal Care,Mamaearth 100% Natural Berry Blast Kids Toothpaste,149,10,4,134,50,FALSE,50
